"Path","Category","Decision","Bytes","SizeMB","SHA256","HashError","DuplicateTracked","DuplicateOf","PathLength","LongPath","Extension","Validation","ValidationError","ExpectedEol","ActualEol","EolStatus","PotentialSecret","SecretSignature"
".runtime/n8n/.cache/n8n/public/assets/AddDataTableModal-C330zIev.js","RUNTIME_TRANSIENT","IGNORE_POLICY_CANDIDATE","10998","0,01","D4C49CA9AEDB5AAE80BAF6A31FDADE5EA2C5265479B3B51739BBBB9ECB5B1914","","False","","140","False",".js","NOT_REQUIRED","","","NOT_CHECKED","NOT_REQUIRED","False",""
".runtime/n8n/.cache/n8n/public/assets/AddDataTableModal-D5mgOW-t.css","RUNTIME_TRANSIENT","IGNORE_POLICY_CANDIDATE","3799","0,004","2EA1159104CB7B5211C6CDCEF99F0455D1EC0DDEC145DAA7CD0C2FFBA319529E","","False","","141","False",".css","NOT_REQUIRED","","","NOT_CHECKED","NOT_REQUIRED","False",""
".runtime/n8n/.cache/n8n/public/assets/AddDataTableModal-legacy-q1iNJBhq.js","RUNTIME_TRANSIENT","IGNORE_POLICY_CANDIDATE","15346","0,015","1EC51DA0D54A147AB7450BCD86FFFDF32DF8C5357E026BE7208571C9C988FB70","","False","","147","False",".js","NOT_REQUIRED","","","NOT_CHECKED","NOT_REQUIRED","False",""
".runtime/n8n/.cache/n8n/public/assets/AgentBuilderView-B98mm4nH.js","RUNTIME_TRANSIENT","IGNORE_POLICY_CANDIDATE","354427","0,338","E90CF0D36CFEF75DE49C36B4EDFC1B2EFEFF8D1EC77910082C608A01CF972CFA","","False","","139","False",".js","NOT_REQUIRED","","","NOT_CHECKED","NOT_REQUIRED","False",""
".runtime/n8n/.cache/n8n/public/assets/AgentBuilderView-CFQ0n5W7.js","RUNTIME_TRANSIENT","IGNORE_POLICY_CANDIDATE","593","0,001","68E0B1CF51AE4573AA9A4BA1C617E2285768342133A2131BBABBFB80ADC92818","","False","","139","False",".js","NOT_REQUIRED","","","NOT_CHECKED","NOT_REQUIRED","False",""
".runtime/n8n/.cache/n8n/public/assets/AgentBuilderView-Cz6U0mkp.css","RUNTIME_TRANSIENT","IGNORE_POLICY_CANDIDATE","78590","0,075","66A48AF0FC3CE71E208747FE26643B5F14CCFECB864EDCA01A37775B56010548","","False","","140","False",".css","NOT_REQUIRED","","","NOT_CHECKED","NOT_REQUIRED","False",""
".runtime/n8n/.cache/n8n/public/assets/AgentBuilderView-legacy-3jyh-Z4G.js","RUNTIME_TRANSIENT","IGNORE_POLICY_CANDIDATE","435710","0,416","B00E0534B8123C4402C7CD08AE72C81458EEACC0D536CC232B6361DC00CE6E93","","False","","146","False",".js","NOT_REQUIRED","","","NOT_CHECKED","NOT_REQUIRED","False",""
".runtime/n8n/.cache/n8n/public/assets/AgentBuilderView-legacy-OPA-TzjO.js","RUNTIME_TRANSIENT","IGNORE_POLICY_CANDIDATE","734","0,001","3CD5C7CD661FB1F6D89487EBA89CE72E277CB1BC9CBF05742278A3EA19812DBD","","False","","146","False",".js","NOT_REQUIRED","","","NOT_CHECKED","NOT_REQUIRED","False",""
".runtime/n8n/.cache/n8n/public/assets/AgentCredentialSelect-CG-Of_2j.css","RUNTIME_TRANSIENT","IGNORE_POLICY_CANDIDATE","1004","0,001","131C2D7A2BB21C3D461C0FEE00A323E9B1907C3BC4E8BD02973AD78B4B5B1BE4","","False","","145","False",".css","NOT_REQUIRED","","","NOT_CHECKED","NOT_REQUIRED","False",""
".runtime/n8n/.cache/n8n/public/assets/AgentCredentialSelect-CpIxLscu.js","RUNTIME_TRANSIENT","IGNORE_POLICY_CANDIDATE","2878","0,003","1FC127D95C84BADC961FEB9BD55ABAB8E7816F93EBDBCB6AF73C5E4EA13E1871","","False","","144","False",".js","NOT_REQUIRED","","","NOT_CHECKED","NOT_REQUIRED","False",""
".runtime/n8n/.cache/n8n/public/assets/AgentCredentialSelect-legacy-BErPfeD5.js","RUNTIME_TRANSIENT","IGNORE_POLICY_CANDIDATE","4171","0,004","93D064927F638C9343FB4FC91358796DF740A1730F3F3F028A67086852151D98","","False","","151","False",".js","NOT_REQUIRED","","","NOT_CHECKED","NOT_REQUIRED","False",""
".runtime/n8n/.cache/n8n/public/assets/AgentEditorModal-B5I3oVja.css","RUNTIME_TRANSIENT","IGNORE_POLICY_CANDIDATE","6940","0,007","B30DA3360C7388D1A90FF8D5DE19EC9463E56F20A6F87DE175FC66F2A72C78B7","","False","","140","False",".css","NOT_REQUIRED","","","NOT_CHECKED","NOT_REQUIRED","False",""
".runtime/n8n/.cache/n8n/public/assets/AgentEditorModal-CYBp87rz.js","RUNTIME_TRANSIENT","IGNORE_POLICY_CANDIDATE","19146","0,018","37342CCBF129EC364C6B9B92FAA23FC3EAC34701EB3C260C2287B0EE8AF8427F","","False","","139","False",".js","NOT_REQUIRED","","","NOT_CHECKED","NOT_REQUIRED","False",""
".runtime/n8n/.cache/n8n/public/assets/AgentEditorModal-legacy-4l2SGgVB.js","RUNTIME_TRANSIENT","IGNORE_POLICY_CANDIDATE","26740","0,026","8ED8A1EAC0629D4D0197E45455052C6BFB859AFBBA43A7A34579553BB16C4C52","","False","","146","False",".js","NOT_REQUIRED","","","NOT_CHECKED","NOT_REQUIRED","False",""
".runtime/n8n/.cache/n8n/public/assets/AgentJsonImportModal-BbDbFad9.js","RUNTIME_TRANSIENT","IGNORE_POLICY_CANDIDATE","2983","0,003","B903ED6741031F77034CBC2631F60D74819F556F9753D081E69173857C21E0C2","","False","","143","False",".js","NOT_REQUIRED","","","NOT_CHECKED","NOT_REQUIRED","False",""
